"Patente","Estado","Tenencia","Centro de Costo","Odometro","Horometro","Comentarios (diario)","PM Odometro","PM Horometro","Modificado","Observaciones","AFI","Categoria","Subcategoria","Marca","Modelo","Año","Permiso de Circulacion","Revision Tecnica","Seguro","Acreditacion","Fotografia del Vehiculo","Modificado por","ID"
"TCLC-61","OPERATIVO","TREK RENTAL","170","82.158","2.405",,,"1.935","24/09/2025 3:19",,"A-M100","CAMION","ALJIBE","MERCEDEZ BENZ","AROCS","2024","30/09/2026","06/11/2025","30/09/2026","25/01/2027","Reserved_ImageAttachment_[21]_[FotografiadelVehiculo][32]_[d2a7e197323948b49e81ba9ea7a4d0a1][1]_[1].jpeg","Bastián Esteban Azuga Contreras","2"
"KLSF-91","OPERATIVO","VIALCORP","271","2.805","3.127",,"0","3.433","03/10/2025 3:48",,"P-M701","MAQUINARIA","TRACTOR","MASSEY FERGUSON","MF5440T4K","2018",,,,"03/02/2026","Reserved_ImageAttachment_[21]_[FotografiadelVehiculo][32]_[82a0e721993d47889ed0d0cee6c80c98][1]_[2].jpeg","Bastián Esteban Azuga Contreras","3"
"RSTR-72","OPERATIVO","BARRAZA","271","30.690","2.183",,"50.000","0","03/10/2025 3:47","se cae soporte de cardan,provocando que se caiga cardan","A-M101","CAMION","ALJIBE","VOLKSWAGEN","31390","2022","30/09/2026","04/12/2025","30/09/2026","04/12/2025","Reserved_ImageAttachment_[21]_[FotografiadelVehiculo][32]_[cc15fc14a14741229f6728175edaa822][1]_[8].jpeg","Bastián Esteban Azuga Contreras","4"
"RYJB-39","OPERATIVO","SV CORP","170","157.522","4.447","Perdida de fuerza y fuga de aceite idraulico","0","3.876","01/10/2025 4:11","a espera de coordinar reparacion de A/C","A-M102","CAMION","ALJIBE","VOLVO","FMX500","2022","30/09/2026","04/02/2026","30/09/2026","28/02/2027","Reserved_ImageAttachment_[21]_[FotografiadelVehiculo][32]_[24f43aba09ba4c0c9bbb7057754d5cd4][2]_[11].jpeg","Bastián Esteban Azuga Contreras","5"
"KRKF-94","OPERATIVO","VIALCORP","170","239.125","7.674","Tiene chek prendido perdida de fuerza ","0","7.039","03/10/2025 4:22",,"P-C100","CAMION","ALJIBE","VOLVO","FMX500","2018","30/09/2026","30/03/2026","30/09/2026","30/12/2026","Reserved_ImageAttachment_[21]_[FotografiadelVehiculo][32]_[a50f93ad040c4374a4740dacd85780a2][1]_[3].jpeg","Bastián Esteban Azuga Contreras","7"
"KYLY-77","OPERATIVO","VIALCORP","240","0","0","CAMA BAJA ACOPLADO","0","0","02/10/2025 6:05",,"P-A100","ACOPLADO","CAMA BAJA","TREMAC","PT180063","2021","30/09/2025","07/01/2026","30/09/2025","30/11/2025","Reserved_ImageAttachment_[21]_[FotografiadelVehiculo][32]_[297164a2d45b451196b685aec2d90461][1]_[1].jpg","Bastián Esteban Azuga Contreras","8"
"PGBZ-10","OPERATIVO","VIALCORP","240",,"2.000",,"0","1.926","02/10/2025 6:05",,"P-M602","MAQUINARIA","RODILLO","DYNAPAC","CA 250 D","2020",,,"30/09/2025","30/11/2025","Reserved_ImageAttachment_[21]_[FotografiadelVehiculo][32]_[5c49e531743141f6864f490d14f84247][1]_[7].jpg","Bastián Esteban Azuga Contreras","10"
"PHKY-51","OPERATIVO","VIALCORP","240","147.730",,,"107.000",,"02/10/2025 6:05",,"P-V200","MINIBUS",,"FORD","TRANSITBUS 460E","2021","31/03/2026","02/12/2025","31/03/2026","30/11/2025",,"Bastián Esteban Azuga Contreras","11"
"PHLZ-12","OPERATIVO","SV CORP","170","21.461","0",,"0","0","10/09/2025 7:31",,"A-V101","CAMIONETA","PICK UP 4X4 DIESEL","MAZDA","BT50","2021","31/08/2025","31/05/2026","31/03/2026",,,"Bastián Esteban Azuga Contreras","12"
"PHLZ-21","OPERATIVO","CONSTRUCTORA SV","240","250.358","0",,"208.814","0","02/10/2025 6:05",,"A-V100","CAMIONETA","PICK UP 4X4 DIESEL","MAZDA","BT50","2021","31/08/2025","30/04/2026","31/03/2026","30/11/2025","Reserved_ImageAttachment_[21]_[FotografiadelVehiculo][32]_[4365f7c6705e4685bee0ecdf1ac6e6b1][1]_[1].jpg","Bastián Esteban Azuga Contreras","13"
"PSCW-32","OPERATIVO","BARRAZA","271","218.516",,,"221.794","0","03/10/2025 3:48",,"A-V201","MINIBUS","MINIBUS","MERCEDES BENZ","SPRINTER","2021","31/05/2026","02/03/2026","31/05/2026","31/12/2025",,"Bastián Esteban Azuga Contreras","14"
"PXGT-90","OPERATIVO","VIALCORP","360","0","0","0","0","0","03/10/2025 12:44",,"P-A101","ACOPLADO","CAMA BAJA 50Ton","TREMAC","PT180042","2025","30/09/2026","11/12/2025","30/09/2026",,,"Christian Colque","15"
"RBDL-19","OPERATIVO","VIALCORP","240","0","1.476",,"0","1.146","02/10/2025 6:05",,"P-M501","MAQUINARIA","RETROEXCAVADORA","JOHN DEERE","310L","2021",,,"30/09/2025","30/11/2025",,"Bastián Esteban Azuga Contreras","16"
"RDJD-47","OPERATIVO","VIALCORP","240","0","729",,"0","840","02/10/2025 6:05",,"P-M100","MAQUINARIA","BARREDORA","ROSCO","RB50","2018",,,"30/09/2025","30/11/2025","Reserved_ImageAttachment_[21]_[FotografiadelVehiculo][32]_[f38add644ac04cd6ab44e8c0432b0fd6][1]_[5].jpg","Bastián Esteban Azuga Contreras","17"
